,Identifier,Type,Author,Year,Title,Journal,DOI,Include,Sample_size_quickdirty,Sample size,Sample_type,Developmental period,Category,Phenotype,Tissue,Multiple_tissue,Array,Multiple_array,Selecting_CpGs,Method,"Training, test, validation",Number of CpGs,Effect size phenotype,Coined,Link,Date2,Short Title,Abstract,URL,Date
187,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,SVM_funnorm_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 1,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
188,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,PLR_funnorm_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 1,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
189,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,RF_funnorm_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 1,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
190,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,SVM_swan_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 0.94,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
191,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,PLR_swan_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 1,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
192,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,RF_swan_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 0.94,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
193,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,SVM_raw_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 0.94,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
194,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,PLR_raw_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 1,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
195,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,RF_raw_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 0.94,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
196,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,SVM_quantile_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 0.94,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
197,64,Journal Article,E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),Hum Genet,10.1007/s00439-023-02609-2,Yes,,,Case control,Childhood and adolescence,Syndrome,Sotos syndrome,Whole blood,,"450K, EPICv1","450K, EPICv1",,PLR_quantile_DMC,"38 training (450K), 78 testing (450K), 25 testing (EPIC)",7085,MCC = 1,Not coined,"https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export_x000D_
http://dx.doi.org/10.1007/s00439-023-02609-2",2024-01-18,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),"Episignatures are popular tools for the diagnosis of rare neurodevelopmental disorders. They are commonly based on a set of differentially methylated CpGs used in combination with a support vector machine model. DNA methylation (DNAm) data often include missing values due to changes in data generation technology and batch effects. While many normalization methods exist for DNAm data, their impact on episignature performance have never been assessed. In addition, technologies to quantify DNAm evolve quickly and this may lead to poor transposition of existing episignatures generated on deprecated array versions to new ones. Indeed, probe removal between array versions, technologies or during preprocessing leads to missing values. Thus, the effect of missing data on episignature performance must also be carefully evaluated and addressed through imputation or an innovative approach to episignatures design. In this paper, we used data from patients suffering from Kabuki and Sotos syndrome to evaluate the influence of normalization methods, classification models and missing data on the prediction performances of two existing episignatures. We compare how six popular normalization methods for methylarray data affect episignature classification performances in Kabuki and Sotos syndromes and provide best practice suggestions when building new episignatures. In this setting, we show that Illumina, Noob or Funnorm normalization methods achieved higher classification performances on the testing sets compared to Quantile, Raw and Swan normalization methods. We further show that penalized logistic regression and support vector machines perform best in the classification of Kabuki and Sotos syndrome patients. Then, we describe a new paradigm to build episignatures based on the detection of differentially methylated regions (DMRs) and evaluate their performance compared to classical differentially methylated cytosines (DMCs)-based episignatures in the presence of missing data. We show that the performance of classical DMC-based episignatures suffers from the presence of missing data more than the DMR-based approach. We present a comprehensive evaluation of how the normalization of DNA methylation data affects episignature performance, using three popular classification models. We further evaluate how missing data affect those models’ predictions. Finally, we propose a novel methodology to develop episignatures based on differentially methylated regions identification and show how this method slightly outperforms classical episignatures in the presence of missing data.",https://www.embase.com/search/results?subaction=viewrecord&id=L2026333342&from=export,2024-01-18
